network,nodes,edges,density,n_communities,community_size_min,community_size_mean,community_size_max,total_weight,weight_min,weight_mean,weight_median,weight_max,mean_in_degree,mean_out_degree,max_in_degree,max_out_degree,mean_in_strength,mean_out_strength,cross_edge_fraction_mu_t_hat,within_edge_fraction,cross_weight_fraction_mu_w_hat,within_weight_fraction,directed_modularity_unweighted,directed_modularity_weighted,run_id,replicate_id,modularity_regime,mu_t_input,mu_w_input
lfr,150,1514,0.0677404921700223,4,27,37.5,45,6940.37340435,0.00624845,4.5841303859643325,4.499079999999999,14.4918,10.093333333333334,10.093333333333334,24.0,13.0,46.269156029,46.26915602900001,0.0739762219286657,0.9260237780713342,0.0758345904011621,0.924165409598838,0.6649165254629186,0.6619379368391869,5,5,mu_0p075,0.075,0.075
null,150,1514,0.0677404921700223,4,27,37.5,45,6940.373404350001,0.00624845,4.584130385964333,4.499079999999999,14.4918,10.093333333333334,10.093333333333334,24.0,13.0,46.269156029,46.269156029,0.749669749009247,0.250330250990753,0.7529043254898733,0.2470956745101267,-0.0107770016176627,-0.0138750898461637,5,5,mu_0p075,0.075,0.075
lfr,150,1449,0.0648322147651006,5,22,30.0,41,6490.56451927,0.00901087,4.479340593008972,4.39646,13.3866,9.66,9.66,25.0,12.0,43.27043012846666,43.27043012846667,0.0759144237405107,0.9240855762594892,0.0743585442895006,0.9256414557104994,0.7160727204835585,0.7193504463629268,6,6,mu_0p075,0.075,0.075
null,150,1449,0.0648322147651006,5,22,30.0,41,6490.564519269999,0.00901087,4.479340593008971,4.39646,13.3866,9.66,9.66,25.0,12.0,43.27043012846666,43.27043012846666,0.8350586611456177,0.1649413388543823,0.8327472646212777,0.1672527353787223,-0.0430715169215484,-0.0409555273310188,6,6,mu_0p075,0.075,0.075
lfr,150,1489,0.0666219239373601,5,25,30.0,35,6732.86577524,0.00492574,4.521736585117528,4.4437,13.0093,9.926666666666666,9.926666666666666,24.0,10.0,44.88577183493333,44.88577183493333,0.0725319006044325,0.9274680993955676,0.0730667997346885,0.9269332002653116,0.7251922651041599,0.7247814092759368,7,7,mu_0p075,0.075,0.075
null,150,1489,0.0666219239373601,5,25,30.0,35,6732.86577524,0.00492574,4.521736585117528,4.4437,13.0093,9.926666666666666,9.926666666666666,24.0,10.0,44.88577183493334,44.88577183493333,0.8032236400268636,0.1967763599731363,0.8006126677236258,0.1993873322763741,-0.0054994743182712,-0.0026136629898829,7,7,mu_0p075,0.075,0.075
lfr,150,1449,0.0648322147651006,4,22,37.5,57,6473.18442959,0.00195258,4.467346052167012,4.30528,12.0678,9.66,9.66,25.0,10.0,43.15456286393334,43.15456286393334,0.0807453416149068,0.9192546583850932,0.0742389599457833,0.9257610400542168,0.6381383891510816,0.6444801572377762,8,8,mu_0p075,0.075,0.075
null,150,1449,0.0648322147651006,4,22,37.5,57,6473.18442959,0.00195258,4.467346052167012,4.30528,12.0678,9.66,9.66,25.0,10.0,43.15456286393334,43.154562863933336,0.7301587301587301,0.2698412698412699,0.7255715956307903,0.2744284043692097,-0.0112749993927417,-0.0054217705307084,8,8,mu_0p075,0.075,0.075
lfr,150,1587,0.0710067114093959,4,27,37.5,51,7423.23820256,0.00127516,4.6775287980844364,4.69108,10.825,10.58,10.58,25.0,12.0,49.48825468373333,49.48825468373333,0.0730938878386893,0.9269061121613108,0.0754039944948776,0.9245960055051224,0.664582546676307,0.6624299869630499,9,9,mu_0p075,0.075,0.075
null,150,1587,0.0710067114093959,4,27,37.5,51,7423.23820256,0.00127516,4.6775287980844364,4.69108,10.825,10.58,10.58,25.0,12.0,49.48825468373333,49.48825468373333,0.7429111531190926,0.2570888468809074,0.741595861076033,0.2584041389239669,-0.0052347186040962,-0.0041739067887211,9,9,mu_0p075,0.075,0.075
lfr,150,1443,0.0645637583892617,4,25,37.5,53,6441.41656812,0.00308214,4.463906145613306,4.37383,13.8567,9.62,9.62,24.0,12.0,42.9427771208,42.9427771208,0.0741510741510741,0.925848925848926,0.0768371557538396,0.9231628442461604,0.6630556672136714,0.6624515054477638,10,10,mu_0p075,0.075,0.075
null,150,1443,0.0645637583892617,4,25,37.5,53,6441.41656812,0.00308214,4.463906145613306,4.37383,13.8567,9.62,9.62,24.0,12.0,42.9427771208,42.9427771208,0.7581427581427581,0.2418572418572419,0.7627040606308578,0.2372959393691421,-0.0209360167780126,-0.0257883641720051,10,10,mu_0p075,0.075,0.075
lfr,150,1480,0.0662192393736017,4,32,37.5,44,6664.8702022,0.0397109,4.503290677162162,4.27907,12.0468,9.866666666666667,9.866666666666667,25.0,10.0,44.43246801466667,44.43246801466667,0.0702702702702702,0.9297297297297298,0.0701473154039332,0.9298526845960668,0.6743106281957634,0.6747672551562469,11,11,mu_0p075,0.075,0.075
null,150,1480,0.0662192393736017,4,32,37.5,44,6664.8702022,0.0397109,4.503290677162162,4.27907,12.0468,9.866666666666667,9.866666666666667,25.0,10.0,44.43246801466667,44.43246801466667,0.7554054054054054,0.2445945945945946,0.7538882720088746,0.2461117279911253,-0.0108245069393717,-0.0091009729960933,11,11,mu_0p075,0.075,0.075
lfr,150,1470,0.0657718120805369,5,23,30.0,45,6624.3670631,0.0481074,4.506372151768708,4.47583,10.9678,9.8,9.8,23.0,13.0,44.16244708733333,44.16244708733333,0.0721088435374149,0.927891156462585,0.0729736906930671,0.9270263093069327,0.7160919061502152,0.7155006942637636,12,12,mu_0p075,0.075,0.075
null,150,1470,0.0657718120805369,5,23,30.0,45,6624.3670631,0.0481074,4.506372151768708,4.47583,10.9678,9.8,9.8,23.0,13.0,44.16244708733333,44.16244708733333,0.8,0.1999999999999999,0.7968394960332705,0.2031605039667294,-0.0117992503123698,-0.0081876037478571,12,12,mu_0p075,0.075,0.075
lfr,150,1472,0.0658612975391498,4,30,37.5,43,6587.596206769,0.000869739,4.4752691622072005,4.37312,11.7671,9.813333333333333,9.813333333333333,24.0,10.0,43.91730804512667,43.91730804512667,0.0754076086956521,0.9245923913043478,0.0722334402160306,0.9277665597839692,0.6698867999763705,0.6729059569015783,13,13,mu_0p075,0.075,0.075
null,150,1472,0.0658612975391498,4,30,37.5,43,6587.596206769,0.000869739,4.4752691622072005,4.37312,11.7671,9.813333333333333,9.813333333333333,24.0,10.0,43.91730804512667,43.91730804512667,0.7595108695652174,0.2404891304347826,0.7577179308000086,0.2422820691999914,-0.0142164608931947,-0.0127595465960151,13,13,mu_0p075,0.075,0.075
lfr,150,1447,0.0647427293064877,4,31,37.5,51,6426.40505059,0.00475329,4.441192156592951,4.40586,11.3821,9.646666666666668,9.646666666666668,24.0,10.0,42.84270033726667,42.84270033726666,0.0843123704215618,0.9156876295784382,0.0726215320877033,0.9273784679122966,0.6533337090441391,0.6652122548706956,14,14,mu_0p075,0.075,0.075
null,150,1447,0.0647427293064877,4,31,37.5,51,6426.40505059,0.00475329,4.44119215659295,4.40586,11.3821,9.646666666666668,9.646666666666668,24.0,10.0,42.84270033726667,42.84270033726666,0.7332411886662059,0.2667588113337941,0.7316042081518584,0.2683957918481415,0.0044048907994951,0.0062966381198972,14,14,mu_0p075,0.075,0.075
lfr,150,1463,0.0654586129753915,5,22,30.0,36,6547.92857669,0.00993669,4.4756859717635,4.43862,11.5331,9.753333333333334,9.753333333333334,25.0,10.0,43.65285717793333,43.652857177933335,0.0710868079289132,0.9289131920710868,0.0723043022148125,0.9276956977851876,0.7251473928093708,0.7240162984009426,15,15,mu_0p075,0.075,0.075
null,150,1463,0.0654586129753915,5,22,30.0,36,6547.928576689999,0.00993669,4.475685971763499,4.43862,11.5331,9.753333333333334,9.753333333333334,25.0,10.0,43.65285717793333,43.65285717793333,0.7833219412166781,0.2166780587833219,0.7811644500673002,0.2188355499326998,0.0129122595216058,0.0150090985064155,15,15,mu_0p075,0.075,0.075
lfr,150,1454,0.0650559284116331,5,25,30.0,39,6460.29385088,0.00683579,4.443118191801926,4.34195,10.7391,9.693333333333332,9.693333333333332,25.0,10.0,43.06862567253333,43.06862567253333,0.0749656121045392,0.9250343878954608,0.0693242492087253,0.9306757507912746,0.7198299431062439,0.7258101586577224,16,16,mu_0p075,0.075,0.075
null,150,1454,0.0650559284116331,5,25,30.0,39,6460.29385088,0.00683579,4.443118191801926,4.34195,10.7391,9.693333333333332,9.693333333333332,25.0,10.0,43.06862567253333,43.06862567253333,0.7957359009628611,0.2042640990371389,0.7941891601697205,0.2058108398302794,-0.0009403457520779,0.000845099643708,16,16,mu_0p075,0.075,0.075
lfr,150,1467,0.0656375838926174,5,26,30.0,33,6605.10389091,0.00541651,4.5024566400204495,4.4637,9.86304,9.78,9.78,25.0,12.0,44.0340259394,44.0340259394,0.0831629175187457,0.9168370824812544,0.0741007361872953,0.9258992638127046,0.7147422806398805,0.7235929817028238,17,17,mu_0p075,0.075,0.075
null,150,1467,0.0656375838926174,5,26,30.0,33,6605.10389091,0.00541651,4.5024566400204495,4.4637,9.86304,9.78,9.78,25.0,12.0,44.0340259394,44.0340259394,0.8050443081117927,0.1949556918882072,0.8006024706269165,0.1993975293730835,-0.0071391099531664,-0.0025552495882806,17,17,mu_0p075,0.075,0.075
lfr,150,1521,0.0680536912751677,4,23,37.5,62,6975.60177286,0.00146237,4.58619445947403,4.63813,12.8106,10.14,10.14,24.0,11.0,46.50401181906667,46.50401181906667,0.0756081525312294,0.9243918474687706,0.0763553812564652,0.9236446187435348,0.6305473102620729,0.6307718840752432,18,18,mu_0p075,0.075,0.075
null,150,1521,0.0680536912751677,4,23,37.5,62,6975.60177286,0.00146237,4.58619445947403,4.63813,12.8106,10.14,10.14,24.0,11.0,46.50401181906668,46.50401181906667,0.722550953320184,0.2774490466798159,0.7223940783956111,0.2776059216043889,-0.0163954905268817,-0.0154044618176197,18,18,mu_0p075,0.075,0.075
lfr,150,1581,0.070738255033557,4,29,37.5,51,7386.964950400001,0.0100612,4.672337097027199,4.60788,13.7566,10.54,10.54,25.0,12.0,49.24643300266667,49.24643300266667,0.0809614168247944,0.9190385831752056,0.0759200827627633,0.9240799172372368,0.6554971052916891,0.6605144303552604,19,19,mu_0p075,0.075,0.075
null,150,1581,0.070738255033557,4,29,37.5,51,7386.9649504,0.0100612,4.672337097027198,4.60788,13.7566,10.54,10.54,25.0,12.0,49.24643300266666,49.24643300266667,0.7488931056293485,0.2511068943706515,0.7483098403764163,0.2516901596235836,-0.0124345835128648,-0.0131833530937505,19,19,mu_0p075,0.075,0.075
lfr,150,1396,0.0624608501118568,5,23,30.0,35,6105.6878505,0.0172181,4.373701898638969,4.256745,11.314,9.306666666666668,9.306666666666668,20.0,10.0,40.70458567,40.70458567,0.076647564469914,0.923352435530086,0.0743994930010711,0.9256005069989288,0.7184305752826331,0.7205825902691589,20,20,mu_0p075,0.075,0.075
null,150,1396,0.0624608501118568,5,23,30.0,35,6105.6878505,0.0172181,4.373701898638969,4.256745,11.314,9.306666666666668,9.306666666666668,20.0,10.0,40.70458567,40.70458567,0.7994269340974212,0.2005730659025788,0.7966338039049409,0.2033661960950591,-0.004348794344874,-0.00120358121781,20,20,mu_0p075,0.075,0.075
lfr,150,1504,0.0672930648769574,3,38,50.0,70,6843.549091507,0.000832117,4.550232108714761,4.48648,12.2899,10.026666666666667,10.026666666666667,25.0,11.0,45.62366061004667,45.62366061004667,0.0751329787234042,0.9248670212765956,0.0737177164598825,0.9262822835401174,0.5630358052286102,0.566014646885037,21,21,mu_0p075,0.075,0.075
null,150,1504,0.0672930648769574,3,38,50.0,70,6843.549091507,0.000832117,4.550232108714761,4.48648,12.2899,10.026666666666667,10.026666666666667,25.0,11.0,45.62366061004667,45.62366061004667,0.6349734042553191,0.3650265957446809,0.6350378700714479,0.3649621299285521,0.0031953796966953,0.0038639137033267,21,21,mu_0p075,0.075,0.075
lfr,150,1453,0.0650111856823266,4,34,37.5,42,6477.761853800001,0.0080173,4.458198109979353,4.44477,10.6857,9.686666666666667,9.686666666666667,25.0,11.0,43.18507902533333,43.18507902533334,0.0777701307639366,0.9222298692360632,0.0712877555893948,0.9287122444106052,0.6711254072903251,0.6774665323537069,22,22,mu_0p075,0.075,0.075
null,150,1453,0.0650111856823266,4,34,37.5,42,6477.7618538,0.0080173,4.458198109979353,4.44477,10.6857,9.686666666666667,9.686666666666667,25.0,11.0,43.18507902533334,43.18507902533334,0.7522367515485203,0.2477632484514796,0.7467908134909584,0.2532091865090415,-0.0033412134942584,0.0019721615477198,22,22,mu_0p075,0.075,0.075
lfr,150,1499,0.067069351230425,6,24,25.0,27,6830.788584666399,7.74064e-05,4.556896987769446,4.47895,14.4854,9.993333333333334,9.993333333333334,25.0,10.0,45.53859056444266,45.53859056444266,0.0800533689126084,0.9199466310873916,0.0767464631892136,0.9232535368107864,0.7527184011044054,0.7560809273476897,23,23,mu_0p075,0.075,0.075
null,150,1499,0.067069351230425,6,24,25.0,27,6830.7885846664,7.74064e-05,4.556896987769447,4.47895,14.4854,9.993333333333334,9.993333333333334,25.0,10.0,45.53859056444267,45.53859056444267,0.8432288192128086,0.1567711807871914,0.8446283682556935,0.1553716317443064,-0.0104570491957947,-0.0117611040687877,23,23,mu_0p075,0.075,0.075
lfr,150,1453,0.0650111856823266,5,23,30.0,33,6470.1666122,0.0146606,4.452970827391604,4.4024,13.8891,9.686666666666667,9.686666666666667,25.0,12.0,43.134444081333335,43.134444081333335,0.0777701307639366,0.9222298692360632,0.0715027819110045,0.9284972180889954,0.7183485860471417,0.7245551916163591,24,24,mu_0p075,0.075,0.075
null,150,1453,0.0650111856823266,5,23,30.0,33,6470.1666122,0.0146606,4.452970827391604,4.4024,13.8891,9.686666666666667,9.686666666666667,25.0,12.0,43.13444408133333,43.13444408133333,0.8011011699931176,0.1988988300068823,0.8030534533380869,0.1969465466619131,-0.0049824531820392,-0.0065864422524955,24,24,mu_0p075,0.075,0.075
lfr,150,1474,0.0659507829977628,6,22,25.0,28,6669.972077877,0.000379537,4.525082820812076,4.60942,11.4773,9.826666666666666,9.826666666666666,25.0,14.0,44.46648051918,44.46648051918,0.0800542740841248,0.9199457259158752,0.0767276702063635,0.9232723297936364,0.7523887592995918,0.7554727389137655,25,25,mu_0p075,0.075,0.075
null,150,1474,0.0659507829977628,6,22,25.0,28,6669.972077877,0.000379537,4.525082820812076,4.60942,11.4773,9.826666666666666,9.826666666666666,25.0,14.0,44.46648051918,44.46648051918,0.8554952510176391,0.1445047489823608,0.8560132653050496,0.1439867346949503,-0.0230522176339224,-0.0233098694049328,25,25,mu_0p075,0.075,0.075
lfr,150,1450,0.0648769574944071,4,32,37.5,43,6455.816858523,0.000265123,4.452287488636552,4.379390000000001,10.391,9.666666666666666,9.666666666666666,25.0,11.0,43.03877905681999,43.03877905682,0.0737931034482758,0.9262068965517242,0.07091230413679,0.92908769586321,0.6740803804994054,0.6770827937036331,26,26,mu_0p075,0.075,0.075
null,150,1450,0.0648769574944071,4,32,37.5,43,6455.816858523,0.000265123,4.452287488636552,4.379390000000001,10.391,9.666666666666666,9.666666666666666,25.0,11.0,43.038779056820005,43.03877905682,0.7613793103448275,0.2386206896551724,0.7626991850028261,0.2373008149971739,-0.0135058263971462,-0.0145573292462979,26,26,mu_0p075,0.075,0.075
lfr,150,1485,0.0664429530201342,4,24,37.5,50,6734.204048900001,0.0179111,4.534817541346802,4.43935,12.7642,9.9,9.9,25.0,10.0,44.894693659333335,44.89469365933334,0.0754208754208754,0.9245791245791246,0.0733408633468234,0.9266591366531766,0.6593417905202417,0.6613754059884808,27,27,mu_0p075,0.075,0.075
null,150,1485,0.0664429530201342,4,24,37.5,50,6734.2040489,0.0179111,4.5348175413468015,4.43935,12.7642,9.9,9.9,25.0,10.0,44.89469365933333,44.894693659333335,0.7454545454545455,0.2545454545454545,0.7452293732797937,0.2547706267202063,-0.0106918795134283,-0.010642867838519,27,27,mu_0p075,0.075,0.075
lfr,150,1449,0.0648322147651006,4,23,37.5,49,6446.96175,1.8656,4.449248964803313,4.29679,14.2613,9.66,9.66,25.0,11.0,42.979745,42.979745,0.048999309868875,0.9510006901311248,0.0699260174763717,0.9300739825236284,0.6862175241867383,0.6660059362111563,28,28,mu_0p075,0.075,0.075
null,150,1449,0.0648322147651006,4,23,37.5,49,6446.96175,1.8656,4.449248964803313,4.29679,14.2613,9.66,9.66,25.0,11.0,42.979745,42.979745,0.7273982056590752,0.2726017943409248,0.7317957935767185,0.2682042064232814,0.0078186283965381,0.0034923000137523,28,28,mu_0p075,0.075,0.075
lfr,150,1486,0.0664876957494407,4,28,37.5,44,6732.9428398,0.0097247,4.530917119650067,4.5592950000000005,12.1828,9.906666666666666,9.906666666666666,25.0,10.0,44.88628559866667,44.88628559866667,0.0740242261103634,0.9259757738896366,0.0745875142191044,0.9254124857808956,0.6680774713838808,0.6677406414880499,29,29,mu_0p075,0.075,0.075
null,150,1486,0.0664876957494407,4,28,37.5,44,6732.9428398,0.0097247,4.530917119650067,4.5592950000000005,12.1828,9.906666666666666,9.906666666666666,25.0,10.0,44.88628559866665,44.88628559866667,0.7462987886944819,0.2537012113055181,0.7460892782433323,0.2539107217566677,-0.0041970912002376,-0.0031225175674729,29,29,mu_0p075,0.075,0.075
lfr,150,1514,0.0677404921700223,6,20,25.0,29,6913.8787258,0.0217993,4.566630598282695,4.43053,16.1323,10.093333333333334,10.093333333333334,25.0,13.0,46.09252483866666,46.09252483866666,0.0726552179656539,0.927344782034346,0.0720739393273551,0.9279260606726448,0.757602316730332,0.7578368300677356,30,30,mu_0p075,0.075,0.075
null,150,1514,0.0677404921700223,6,20,25.0,29,6913.878725799999,0.0217993,4.566630598282695,4.43053,16.1323,10.093333333333334,10.093333333333334,25.0,13.0,46.09252483866668,46.09252483866666,0.8183619550858653,0.1816380449141347,0.8219331199134466,0.1780668800865533,0.0118955796101205,0.0083181650802037,30,30,mu_0p075,0.075,0.075
lfr,150,1501,0.067158836689038,4,36,37.5,40,6834.474635,0.201072,4.553280902731512,4.46733,11.9385,10.006666666666666,10.006666666666666,22.0,13.0,45.563164233333325,45.56316423333334,0.0646235842771485,0.9353764157228516,0.0751939296647927,0.9248060703352072,0.6855744848759499,0.6753306567672667,31,31,mu_0p075,0.075,0.075
null,150,1501,0.067158836689038,4,36,37.5,40,6834.4746350000005,0.201072,4.553280902731513,4.46733,11.9385,10.006666666666666,10.006666666666666,22.0,13.0,45.56316423333334,45.56316423333334,0.7561625582944703,0.2438374417055296,0.7552130632788571,0.2447869367211429,-0.0059644891413718,-0.0050087203280944,31,31,mu_0p075,0.075,0.075
lfr,150,1426,0.0638031319910514,5,25,30.0,43,6312.239762609999,0.00357471,4.426535597903225,4.366935,12.0179,9.506666666666666,9.506666666666666,24.0,10.0,42.0815984174,42.0815984174,0.0757363253856942,0.9242636746143058,0.075929936224701,0.924070063775299,0.7137576248748448,0.713526221436461,32,32,mu_0p075,0.075,0.075
null,150,1426,0.0638031319910514,5,25,30.0,43,6312.23976261,0.00357471,4.426535597903226,4.366935,12.0179,9.506666666666666,9.506666666666666,24.0,10.0,42.0815984174,42.0815984174,0.8008415147265077,0.1991584852734923,0.8036716663155424,0.1963283336844575,-0.0113475644659686,-0.014032067551956,32,32,mu_0p075,0.075,0.075
lfr,150,1492,0.0667561521252796,4,35,37.5,40,6773.06975659,0.00232059,4.539590989671582,4.492324999999999,13.7869,9.946666666666667,9.946666666666667,25.0,11.0,45.15379837726668,45.15379837726666,0.0750670241286863,0.9249329758713136,0.0756497577913571,0.9243502422086428,0.6736293296149617,0.6729815850684404,33,33,mu_0p075,0.075,0.075
null,150,1492,0.0667561521252796,4,35,37.5,40,6773.06975659,0.00232059,4.539590989671582,4.492324999999999,13.7869,9.946666666666667,9.946666666666667,25.0,11.0,45.15379837726666,45.15379837726667,0.7620643431635389,0.2379356568364611,0.7626199347606493,0.2373800652393507,-0.0133679894198908,-0.0136777445918838,33,33,mu_0p075,0.075,0.075
lfr,150,1413,0.0632214765100671,4,27,37.5,41,6201.24807475,0.00316745,4.388710597841472,4.32606,11.8308,9.42,9.42,24.0,11.0,41.34165383166668,41.34165383166666,0.0721868365180467,0.9278131634819532,0.0714951199187227,0.9285048800812772,0.6716852760911343,0.672483893178814,34,34,mu_0p075,0.075,0.075
null,150,1413,0.0632214765100671,4,27,37.5,41,6201.248074749999,0.00316745,4.388710597841472,4.32606,11.8308,9.42,9.42,24.0,11.0,41.34165383166666,41.34165383166666,0.7685774946921444,0.2314225053078555,0.7704272328990175,0.2295727671009825,-0.0247053820829633,-0.0268783764299988,34,34,mu_0p075,0.075,0.075
lfr,150,1428,0.0638926174496644,5,27,30.0,37,6316.85617181,0.00331301,4.423568747766106,4.3443950000000005,12.6551,9.52,9.52,25.0,10.0,42.11237447873334,42.11237447873333,0.0693277310924369,0.930672268907563,0.0724280210544837,0.9275719789455162,0.7272394251818375,0.7243270316990403,35,35,mu_0p075,0.075,0.075
null,150,1428,0.0638926174496644,5,27,30.0,37,6316.85617181,0.00331301,4.423568747766106,4.3443950000000005,12.6551,9.52,9.52,25.0,10.0,42.11237447873334,42.11237447873333,0.7843137254901961,0.2156862745098039,0.7868238855889362,0.2131761144110637,0.0122534307840783,0.0099891034354748,35,35,mu_0p075,0.075,0.075
lfr,150,1397,0.0625055928411633,5,23,30.0,39,6126.96303875,0.00240582,4.385800314065856,4.30303,12.5967,9.313333333333333,9.313333333333333,25.0,11.0,40.846420258333325,40.84642025833333,0.0744452397995705,0.9255547602004296,0.0743548550674696,0.9256451449325304,0.7128723017776615,0.7122454998371902,36,36,mu_0p075,0.075,0.075
null,150,1397,0.0625055928411633,5,23,30.0,39,6126.96303875,0.00240582,4.385800314065856,4.30303,12.5967,9.313333333333333,9.313333333333333,25.0,11.0,40.84642025833333,40.84642025833333,0.8067287043664997,0.1932712956335003,0.8045234543728624,0.1954765456271375,-0.0194111627892677,-0.016472391469947,36,36,mu_0p075,0.075,0.075
lfr,150,1502,0.0672035794183445,4,22,37.5,62,6849.743694999999,0.026681,4.56041524300932,4.578685,12.1543,10.013333333333334,10.013333333333334,25.0,13.0,45.66495796666666,45.66495796666668,0.0659121171770972,0.9340878828229028,0.0701882459267696,0.9298117540732304,0.6504833324763609,0.6482593855057641,37,37,mu_0p075,0.075,0.075
null,150,1502,0.0672035794183445,4,22,37.5,62,6849.743695,0.026681,4.560415243009321,4.578685,12.1543,10.013333333333334,10.013333333333334,25.0,13.0,45.66495796666666,45.66495796666667,0.7250332889480693,0.2749667110519307,0.7243152018405556,0.2756847981594443,-0.0086378392946111,-0.0068473460673737,37,37,mu_0p075,0.075,0.075
lfr,150,1552,0.0694407158836689,5,22,30.0,41,7196.98388236,0.00437746,4.637231882963918,4.598520000000001,14.4841,10.346666666666666,10.346666666666666,25.0,13.0,47.97989254906667,47.97989254906667,0.0747422680412371,0.9252577319587628,0.0769684164108971,0.9230315835891028,0.7152858964820916,0.7131359729468941,38,38,mu_0p075,0.075,0.075
null,150,1552,0.0694407158836689,5,22,30.0,41,7196.98388236,0.00437746,4.637231882963918,4.598520000000001,14.4841,10.346666666666666,10.346666666666666,25.0,13.0,47.97989254906667,47.97989254906667,0.8067010309278351,0.1932989690721649,0.8058349356658869,0.194165064334113,-0.0166728664045063,-0.0163658177616666,38,38,mu_0p075,0.075,0.075
lfr,150,1463,0.0654586129753915,6,21,25.0,30,6574.8541181,0.00435447,4.494090306288449,4.46395,13.1941,9.753333333333334,9.753333333333334,24.0,12.0,43.83236078733334,43.832360787333336,0.0758714969241285,0.9241285030758716,0.0740715868903165,0.9259284131096834,0.7552590230936815,0.7570362800013514,39,39,mu_0p075,0.075,0.075
null,150,1463,0.0654586129753915,6,21,25.0,30,6574.8541181,0.00435447,4.494090306288449,4.46395,13.1941,9.753333333333334,9.753333333333334,24.0,12.0,43.832360787333336,43.832360787333336,0.8345864661654135,0.1654135338345864,0.8331167853626728,0.1668832146373272,-0.0034559461476035,-0.0019490541326781,39,39,mu_0p075,0.075,0.075
